listing_type,title,price,bedrooms,bathrooms,floor_size_m2,address,suburb,area,listing_url,agent_name,agent_contact,description,listed_date,image_url,estimated_monthly_rent,estimated_annual_rent,estimated_gross_yield,yield_above_threshold,distressed_flags
sale,3 Bedroom Townhouse,2950000,3,2,220 m²,Paarl Central,Paarl Central,Paarl,https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/117020924,,,"Step into this opportunity in the heart of the beautiful Paarl.

Whether you are looking for the perfect investment property or ...",,https://images.prop24.com/206466645/Ensure264x153,9500,114000,3.86,False,
sale,3 Bedroom House,5950000,3,2,250 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/116989204,,,"DUAL MANDATE 

Ideally located with quick access to national roads, this modern double-storey home offers the perfect balance between ...",,https://images.prop24.com/363879363/Ensure264x153,9500,114000,1.92,False,mandate
sale,3 Bedroom House,2980000,3,2,539 m²,Paarl North,Paarl North,Paarl,https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/116988479,,,"- SOLE MANDATE -
Situated on a prime corner stand in one of Noorder-Paarl’s most attractive and established streets, this well-kept ...",,https://images.prop24.com/375112336/Crop600x400,9500,114000,3.83,False,mandate
sale,3 Bedroom House,5995000,3,2,888 m²,Paarl South,Paarl South,Paarl,https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/117023826,,,"Modern 3-Bedroom Home in Wilde Paarde Country Estate

Set on a generous 888m² stand, this modern home offers secure estate living ...",,https://images.prop24.com/375599489/Crop600x400,9500,114000,1.9,False,
sale,2 Bedroom House,9375000,2,3,155 m²,Pearl Valley Golf & Country Estate,Pearl Valley Golf & Country Estate,Paarl,https://www.property24.com/for-sale/pearl-valley-golf-and-country-estate/paarl/western-cape/11772/117042349,,,"Exclusive Joint Mandate. Stunning double-storey Resort Lodge with two spacious bedrooms, both with en-suite bathrooms and separate ...",,https://images.prop24.com/376112855/Crop600x400,9500,114000,1.22,False,
sale,3 Bedroom House,3695000,3,2,383 m²,Paarl North,Paarl North,Paarl,https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/116981907,,,"SOLE MANDATE
This spacious and well-designed home in Mooiberge Estate offers secure, low-maintenance living with an emphasis on ...",,https://images.prop24.com/275940058/Ensure264x153,9500,114000,3.09,False,mandate
sale,3 Bedroom Townhouse,5950000,3,2,250 m²,Kleine Parys 2,Kleine Parys 2,Paarl,https://www.property24.com/for-sale/kleine-parys-2/paarl/western-cape/25493/117007872,,,Welcome to a home where contemporary design meets the exceptional lifestyle of the Cape Winelands. Proudly presented in the ...,,https://images.prop24.com/374551127/Ensure264x153,9500,114000,1.92,False,
sale,3 Bedroom House,2495000,3,2,792 m²,38 La Moderne Street,Charleston Hill,Paarl,https://www.property24.com/for-sale/charleston-hill/paarl/western-cape/8593/116847087,,,"Beautifully renovated and spacious family home, ideally located in prime and sought ...",,https://images.prop24.com/310646377/Ensure264x153,9500,114000,4.57,False,
sale,3 Bedroom House,6650000,3,2,400 m²,Boschenmeer Golf & Country Estate,Boschenmeer Golf & Country Estate,Paarl,https://www.property24.com/for-sale/boschenmeer-golf-and-country-estate/paarl/western-cape/10770/116958595,,,EXCLUSIVE MANDATE - This modern Boschenmeer home in the prestigious Boschenmeer Golf Estate offers a multitude of features. The ...,,https://images.prop24.com/322138770/Ensure264x153,9500,114000,1.71,False,
sale,2 Bedroom Apartment,2595000,2,3,106 m²,Groenvlei,Groenvlei,Paarl,https://www.property24.com/for-sale/groenvlei/paarl/western-cape/8601/116930347,,,"Exclusive Sole Mandate

Built in 2024, this modern duplex flat is located in Sultana Street, offering practical, easy living in a ...",,https://images.prop24.com/275940058/Ensure264x153,9500,114000,4.39,False,mandate
